Domain,Tweets,Website Type,status
therealstrategy.com,7113.0,Alternative Media,
infowars.com,1741.0,Alternative Media,
newsbusters.org,1217.0,Alternative Media,
washingtonpost.com,1108.0,MSM,
nodisinfo.com,774.0,Alternative Media,
nytimes.com,759.0,MSM,
veteranstoday.com,586.0,Alternative Media,
beforeitsnews.com,580.0,Alternative Media,
rawstory.com,308.0,Alternative Media,
hoax.trendolizer.com,299.0,fact checker,
