Domain,Tweet,Website Type,status
21stcenturywire.com,3088,Alternative Media,live
clarityofsignal.com,2352,Not Found,live
rt.com,1598,Foreign Government Media,live
newsweek.com,1249,Not Found,live
alternet.org,1221,Not Found,live
sputniknews.com,1076,Foreign Government Media,live
mintpressnews.com,919,Not Found,live
cnn.com,756,MSM,live
globalresearch.ca,724,Alternative Media,live
theantimedia.org,682,Alternative Media,live
